P(negatif|x),P(positif|x),prediksi,aktual,clean_text
1.0,0.0,negatif,negatif,bisa incar kerja ikn fokus kerja hasrat
0.0,1.0,positif,positif,ikn bangun nusantara maju indonesia
1.0,0.0,negatif,negatif,terima kasih giat ekonomi ikn bangga
1.0,0.0,negatif,negatif,final ikn iya lurah
1.0,0.0,negatif,negatif,tau bikin program boros ikn
1.0,0.0,negatif,negatif,investor ikn emang klien sepi
0.0,1.0,positif,negatif,butuh bikin ikn harga sekolah
1.0,0.0,negatif,negatif,cuman ikn wilayah wilayah tambang gas orang kerja keluarga
0.0,1.0,positif,positif,ikn bangun sono doi bikin bagus bilang air susah mending buka panti telat
0.6666666666666666,0.3333333333333333,negatif,negatif,bayang dana ikn selesai rakyat sadar ikn proyek legasi pribadi proyek konyol situasi pindah kota gagas salah paksa salah buah tolol sempurna
1.0,0.0,negatif,negatif,kelas orang cuman banget debat ikn ikn hasil
0.0,1.0,positif,positif,ikn jadi indonesia indonesia maju
0.0,1.0,positif,positif,ikn indonesia maju
1.0,0.0,negatif,negatif,komisi kaji kesiap infrastruktur kait pindah ikn
0.0,1.0,positif,positif,bangun ikn nusantara indonesia maju
0.0,1.0,positif,positif,wakil presiden ting enak udel kait dunia didik depan adab moral anak bangsa baik sekolah rusak suruh ikn
1.0,0.0,negatif,negatif,lapor prostitusi ikn berita lokal kerja seks peluang ekonomi proyek konstruksi usaha tangan
0.0,1.0,positif,negatif,bisnis ikn jok
0.0,1.0,positif,positif,wakil presiden ting enak udel kait dunia didik depan rusak moral anak bangsa baik sekolah adab suruh ikn
1.0,0.0,negatif,negatif,kampus sekolah internasional hadir ikn murid
0.0,1.0,positif,positif,nusantara ikn bangun maju indonesia
1.0,0.0,negatif,negatif,wak pas debat orang ikn ikn ama misuh orang ikn
0.0,1.0,positif,positif,ikn jadi indonesia maju
0.0,1.0,positif,positif,selenggara negara pikir situ ijazah pikir maju kota ikn untung negara pinjam ribu untung kali lipat kali lipat kali lipat tunggu presisi untung
1.0,0.0,negatif,negatif,apes kereta otonom rel kota nusantara ikn transit kembali
0.0,1.0,positif,positif,ikn kota modern coba rancang besar trotoar coba lihat kota lihat trotoar man kendara pribadi kena rumput percaya beliau pegang ikn
0.0,1.0,positif,positif,bangun ikn langkah strategis indonesia modern rata lanjut kota
1.0,0.0,negatif,negatif,dengar investor ikn
0.0,1.0,positif,positif,sanding ikn birokrasi pintu ikn sekolah sekolah indonesia lewat birokrasi belik tukang sunat dana baik sunat gubernur bupati camat
0.0,1.0,positif,positif,ikn bangun sono doi bikin bikin bagus bilang air susah mending buka panti telat
1.0,0.0,negatif,negatif,bayang lingkar setan isi oligarki jabat korup jilat anjing jaga setia pangkat jabat kaya kuat ikn markas gerombol demo kesana jahat
1.0,0.0,negatif,negatif,sadar kereta rel era ikn moga sadar
1.0,0.0,negatif,negatif,ijazah hutang impor ikn kereta cepat
0.6666666666666666,0.3333333333333333,negatif,negatif,main harga nasib rakyat bangsa bapak bangun ikn ibukota nun bangsa anak ogah pindah ikn
1.0,0.0,negatif,negatif,pojok gedung ikn
0.0,1.0,positif,negatif,bin kantor ikn kantor modular bin kantor modular pindah lokasi bangun permanen juni susul
0.0,1.0,positif,positif,ikn kota lihat coba lihat besar trotoar coba modern kota rancang trotoar man kendara pribadi kena rumput percaya beliau pegang ikn
0.0,1.0,positif,positif,masyarakat dukung tau kelas jilat kaya dukung dinasti dinasti versi ikn lawas cabang
0.0,1.0,positif,positif,indonesia jadi ikn maju
0.6666666666666666,0.3333333333333333,negatif,negatif,mending ikn mati langkah ijazah remeh
0.0,1.0,positif,positif,ikn kota trotoar coba lihat besar modern coba lihat kota rancang trotoar man kendara pribadi kena rumput percaya beliau pegang ikn
0.3333333333333333,0.6666666666666666,positif,negatif,maksud biar agen gas melon ikn
0.0,1.0,positif,positif,ikn jadi indonesia maju
0.3333333333333333,0.6666666666666666,positif,negatif,ikn untung orang naga bonar doang rakyat untung kali kena anggur negara
0.3333333333333333,0.6666666666666666,positif,negatif,raja kodok tebar ikn bangun maksiat
0.0,1.0,positif,positif,dukung penuh bangun kota kota nusantara pusat perintah hijau modern lanjut
1.0,0.0,negatif,negatif,anggar ikn latih tenaga kerja investasi industri padat karya dampak tingkat pasu pajak buka lapang kerja biaya anak sekolah makan gizi
1.0,0.0,negatif,negatif,nafsu banget balas jasa kawasan milik oligarki fasilitas jual murah tanah bangun milik negara kantor tri pindah operasional ibukota negara ikn dasar
0.0,1.0,positif,positif,dukung makzul konstitusional bikin tabu poin fokus sisa bagus stop ikn cabut masalah negara kuasa tambang tambang
0.0,1.0,positif,negatif,ikn jadi pusat didik budaya asrama
1.0,0.0,negatif,negatif,ikn bohong video takut
1.0,0.0,negatif,negatif,titik nol ikn tugu geografis simbol adab
0.0,1.0,positif,positif,bangun maju nusantara ikn indonesia
0.0,1.0,positif,positif,garis solo forum tanding poin dukung lanjut ikn
1.0,0.0,negatif,negatif,ikn genjot kapasitas profesionalisme kelola dana asing
0.0,1.0,positif,negatif,kalo berani orang presiden ikn birit kali
1.0,0.0,negatif,negatif,jamin huni ikn tampung pindah tahap
0.0,1.0,positif,positif,ikn maju indonesia jadi
1.0,0.0,negatif,negatif,bangun ikn bangun jangka tahap aneh orang ngebet banget pindah ikn agustus keburu rasional
1.0,0.0,negatif,negatif,bangun ikn langkah konkret wujud indonesia perata ekonomi akses infrastruktur pusat daerah gerak
1.0,0.0,negatif,negatif,ajar perintah labrak coba curi harta negara beli uang pribadi canggih ikn lupa bawa sekali
0.6666666666666666,0.3333333333333333,negatif,negatif,amat selesai bangsa bebas pengaruh ekonomi politik sosial hancur dana negara bangun ikn
0.0,1.0,positif,negatif,video asli proyek target agustus capai capai ikn tri uang bubar otoritas
0.6666666666666666,0.3333333333333333,negatif,negatif,proyek ikn serap juta tenaga kerja hidup lokal rantai pasok bahan bangun makan jasa
0.0,1.0,positif,positif,bangun ikn pindah kota langkah nyata wujud indonesia adil adil rata sabang
1.0,0.0,negatif,negatif,tanah ikn beda ken
0.0,1.0,positif,positif,ikn indah utang gunung ikn butuh ratus duit pinjam
1.0,0.0,negatif,negatif,mudah dompet tunggu migrasi sumber ikn pos bagi aplikasi
0.0,1.0,positif,positif,cerdas dikit bilang investor nol ikn antri asing bukti ucap bohong
0.0,1.0,positif,negatif,enak enak kerja tempel setan ikn
1.0,0.0,negatif,negatif,ikn nusantara tarik investor partisipasi garap proyek bangun kota negara
0.0,1.0,positif,positif,dukung nusantara ikn
0.3333333333333333,0.6666666666666666,positif,negatif,puja ikn sila
0.0,1.0,positif,positif,bangun ikn nusantara nusantara maju indonesia
1.0,0.0,negatif,negatif,lapang kerja ikn
1.0,0.0,negatif,negatif,pindah organik butuh ikn
0.0,1.0,positif,positif,cerdas antri bilang investor asing ikn dikit nol bukti ucap bohong
1.0,0.0,negatif,negatif,dungu bangga ikn
1.0,0.0,negatif,negatif,investor asing darat ikn turis bule proyek nan megah
0.0,1.0,positif,positif,kotok kotok pilih gas gas malu papa duit negara ikn lanjut rakyat makmur lapang kerja indonesia terang
0.0,1.0,positif,positif,ikn dorong kembang infrastruktur modern transportasi cerdas layan publik digital tingkat kualitas hidup masyarakat kuat daya saing global indonesia
0.3333333333333333,0.6666666666666666,positif,positif,cipta tuduh perintah dukung bukti rancang jujur kritik bijak proyek ikn ikn bahas maju selesai
0.0,1.0,positif,positif,anggap demokrasi demokrasi sempat buka insan manusia wayang cuman bagus ikn
0.3333333333333333,0.6666666666666666,positif,negatif,bangun infrastruktur rata indonesia unit banding mobil juta unit golong beli ikn bangun
0.0,1.0,positif,positif,ikn ikn nusantara kota cerdas indonesia
0.0,1.0,positif,positif,pimpin adil hina dunia balas akhirat tipu pabrik bangkrut gusur ikn mandalika korban adil allah allah
0.0,1.0,positif,positif,masyarakat dukung tau kelas jilat kaya dukung dinasti dinasti versi versi ikn lawas cabang
0.0,1.0,positif,positif,ikn dukung nusantara
1.0,0.0,negatif,negatif,cek fakta tetap tokoh korup dunia korupsi haji kroni istana ikn kosong buka mata buka telinga buka hati biar buta tuli dungu
0.0,1.0,positif,positif,bangun konsep teknologi hijau ikn contoh kota jaga alam dukung hidup lanjut
0.0,1.0,positif,positif,bagus pikir indonesia depan ikn pasti pasti
0.0,1.0,positif,positif,ikn solo tinggal mantap
0.0,1.0,positif,positif,nusantara ikn bangun maju indonesia
1.0,0.0,negatif,negatif,bilang investor ikn
0.0,1.0,positif,positif,dukung dukung ikn nusantara
0.6666666666666666,0.3333333333333333,negatif,negatif,bangun ikn relasi dana duit
0.0,1.0,positif,positif,materi ikn pindah silah spiritual magis sakral berani dukung jamin tuan puan cek ujung barat timur utara selatan bolak berani urus langit
1.0,0.0,negatif,negatif,heran mah kerja indonesia melulu contoh ikn
0.0,1.0,positif,positif,dukung makzul konstitusional bikin tambang poin fokus sisa bagus stop ikn cabut masalah negara kuasa tabu
1.0,0.0,negatif,negatif,jahat main akting korban ratus juta rakyat rugi presiden palsu milu palsu syarat ijazah palsu panik jabat produk hukum produk batal hukum atur rugi rakyat batal ikn
0.0,1.0,positif,positif,ratus proyek ikn dana baik jalan camat camat desa
0.0,1.0,positif,positif,pindah kota sebar adil ikn hadir dorong tumbuh ekonomi rata bangun pusat
0.0,1.0,positif,positif,dukung penuh bangun kota nusantara pusat perintah hijau modern lanjut
0.0,1.0,positif,positif,bangun ikn rakyat barang bahan hasil jujur bayar kawasan ikn berkah berkah maki doa buruk dapat ikn orang orang bayar malu sedih
1.0,0.0,negatif,negatif,lihat presiden upacara agustus ikn
0.0,1.0,positif,positif,ikn jadi indonesia maju maju
1.0,0.0,negatif,negatif,kaya negara keruk proyek kroni suara rakyat dengar ikn tanah adat cemar tambang ubah baru ijazah narasi satu bangun negeri
1.0,0.0,negatif,negatif,duduk ami ikn
0.0,1.0,positif,positif,dukung penuh bangun kota nusantara pusat perintah hijau modern lanjut lanjut
0.0,1.0,positif,positif,hebat negara sungguh ikn
0.6666666666666666,0.3333333333333333,negatif,negatif,investor pelopor didik ikn patra jasa
0.0,1.0,positif,positif,ikn kota simbol identitas nasional cermin cermin semangat satu maju indonesia
0.0,1.0,positif,positif,ratus proyek ikn dana baik jalan jalan camat desa
0.0,1.0,positif,positif,ikn jadi indonesia maju maju
1.0,0.0,negatif,negatif,titik nol ikn beda titik nol kilometer daerah
0.0,1.0,positif,positif,akh sepele bangun ikn uang rakyat point tugas eksekutif eksekutif kuat awas dukung
0.0,1.0,positif,positif,ikn ikn bagus kak
1.0,0.0,negatif,negatif,internasional catat sejarah laman sumber ikn pos bagi aplikasi
0.0,1.0,positif,positif,ikn maju bangsa indonesia indah
0.0,1.0,positif,positif,rektor komentar udara bersih ikn kondusif aktivitas olahraga
1.0,0.0,negatif,negatif,kakak ibukota mosok ikn
1.0,0.0,negatif,negatif,lupa rakyat bohong bohong mobil investor ikn
0.0,1.0,positif,negatif,kak tolong ikn senyap kabar
0.6666666666666666,0.3333333333333333,negatif,negatif,fasilitas ikn uji coba pabrikan niat ikn selesai uji coba wajar bawa pulang
0.6666666666666666,0.3333333333333333,negatif,negatif,ikn gelar kelas antar kota peka air
1.0,0.0,negatif,negatif,video hadir bicara isi janji hal ikn janji
0.3333333333333333,0.6666666666666666,positif,negatif,lupa duit bangun ikn
0.6666666666666666,0.3333333333333333,negatif,negatif,keluarga suruh tinggal ikn
0.0,1.0,positif,positif,depan pikir indonesia bagus ikn pasti
0.0,1.0,positif,positif,sumber hancur indonesia janji tepat ikn nasib bukti penjara cari indonesia orang libat moga orang adil makmur damai
0.3333333333333333,0.6666666666666666,positif,negatif,tekan peran strategis mitra kota nusantara ikn kuat interkoneksi wilayah ikn lengkap
1.0,0.0,negatif,negatif,ikn simbol harap perata ekonomi indonesia
0.0,1.0,positif,positif,ikn bagus makan media perintah bangun ikn ama linear papar negara
0.6666666666666666,0.3333333333333333,negatif,negatif,karma bang kritik ikn langsung
1.0,0.0,negatif,negatif,tukang investor ikn dana ijazah
0.0,1.0,positif,positif,garis poin forum tanding solo dukung lanjut ikn
0.0,1.0,positif,positif,bangun ikn langkah strategis indonesia modern modern rata lanjut kota
1.0,0.0,negatif,negatif,bangun ikn tolol
1.0,0.0,negatif,negatif,wujud kuyang jalan huni ikn
0.0,1.0,positif,positif,selenggara negara pikir situ ijazah pikir maju kota ikn untung untung negara pinjam ribu untung kali lipat kali lipat kali lipat tunggu presisi untung
0.0,1.0,positif,positif,ikn kota modern coba lihat besar trotoar coba lihat kota rancang trotoar man kendara pribadi kena rumput percaya beliau pegang ikn
0.0,1.0,positif,positif,bangun bangun ikn nusantara maju indonesia
0.0,1.0,positif,positif,bangun ikn pindah kota langkah nyata wujud indonesia adil rata sabang
0.0,1.0,positif,positif,ikn maju indonesia
0.0,1.0,positif,positif,akh sepele bangun ikn uang uang rakyat point tugas eksekutif kuat awas dukung
0.0,1.0,positif,positif,kereta rel ikn kembali deputi ikn ali awi benar kereta otonom kembali hasil uji coba sistem fungsi fungsi optimal uji coba sesuai tonton video
0.6666666666666666,0.3333333333333333,negatif,negatif,efek kena kurung ikn
0.6666666666666666,0.3333333333333333,negatif,negatif,emang tuju utama bangun ikn
0.0,1.0,positif,positif,ikn kota modern coba lihat besar trotoar coba lihat kota rancang trotoar man man kendara pribadi kena rumput percaya beliau pegang ikn
1.0,0.0,negatif,negatif,ramai aktivitas sana sia sia ibukota ikn video aktivitas kerja ikn hidup
0.0,1.0,positif,positif,main ikn bambang penak nyaman
0.6666666666666666,0.3333333333333333,negatif,negatif,ikn rata loh
0.0,1.0,positif,negatif,ragu lulus luah upil percaya ikn buat
0.0,1.0,positif,positif,ikn indonesia maju
1.0,0.0,negatif,negatif,bohong publik janji ikn
0.0,1.0,positif,positif,sumber hancur indonesia janji tepat ikn nasib moga penjara cari orang orang libat bukti indonesia adil makmur damai
0.0,1.0,positif,positif,usaha ikn uji coba barangkali ikn beli kelak kalo dasar evaluasi nilai optimal terbang tawar uji uji coba ikn tuju menteri takut celaka
0.0,1.0,positif,positif,pusat penuh bangun kota nusantara dukung perintah hijau modern lanjut
0.0,1.0,positif,positif,anggar kota nusantara ikn triliun bangun baik miliar butuh biaya sekolah sekolah bangun baik sekolah
0.0,1.0,positif,positif,pimpin adil hina dunia balas akhirat tipu pabrik bangkrut gusur ikn mandalika korban adil allah allah
0.0,1.0,positif,positif,kereta optimal ikn optimal
0.0,1.0,positif,positif,bangun konsep teknologi hijau jaga contoh kota ikn alam dukung hidup lanjut
0.0,1.0,positif,positif,ikn dorong kembang masyarakat modern transportasi cerdas layan publik digital tingkat kualitas hidup infrastruktur kuat daya saing global indonesia
0.0,1.0,positif,positif,cerdas dikit bilang bilang investor asing ikn antri nol bukti ucap bohong
0.0,1.0,positif,positif,nusantara ikn dukung
0.0,1.0,positif,positif,utama negara koruptor miskin gugur tumbuh abis bunuh koruptor jamin negara makmur korupsi rugi bikin kota ikn korup bayang
0.3333333333333333,0.6666666666666666,positif,positif,bikin negara ikn angkut puja biar negeri tenteram aman damai
0.0,1.0,positif,positif,mantap solo tinggal ikn
0.0,1.0,positif,positif,solo mantap tinggal ikn
1.0,0.0,negatif,negatif,proyek bandara ikn tuntas operasional tunggu
1.0,0.0,negatif,negatif,bijak bangun tol trans tol trans kereta cepat ikn miris lihat jalan dua pulau aspal lebar meter doang itu jalur sempit
0.0,1.0,positif,positif,ikn negara sungguh hebat
0.0,1.0,positif,positif,dukung penuh bangun lanjut nusantara pusat perintah hijau modern kota
