id,clean_text,sentimen
108,wujud teluk wilayah indonesia wajar kah indonesia bangun ikn kembang bangun industri,negatif
109,maksud biar agen gas melon ikn,negatif
110,nirmala tapa ujung patung garuda ikn,negatif
111,lapor rakyat cuman tuju lemah bangun ikn revisi guling partner langgar ham berat dorong ampas koruptor fanatik cuman beda versi,negatif
112,bohong ekonomi roket dana triliun investor antri ikn percaya puja,negatif
113,tekan peran strategis mitra kota nusantara ikn kuat interkoneksi wilayah ikn lengkap,negatif
114,tawur rutin tawur ikn sono mati tawur ganggu,negatif
115,dua jadi tumbal proyek ikn,negatif
116,bilang investor ikn,negatif
117,agustus ikn rona,negatif
118,bawa ikn promosi presiden,negatif
119,biaya ikn tanggung trem otonom terang taruh biar mata baca,negatif
120,huni ikn tampung pindah tahap,negatif
121,ekonomi dunia rangkak pulih pulih dana minim bikin ikn,negatif
122,bambang mundur kepala ikn baca artikel,negatif
123,sepele abai bangun ikn kelak,negatif
124,dusta investor tarik ikn sesuai catat skripsi prof rasyid tokoh salah tulis nama bimbing tulis,negatif
125,alami signifikan jabat hutang lonjak signifikan bimbing paksa pindah ikn program prosedur tabrak,negatif
126,tolong jatuh ikn rumah,negatif
127,mana ketemu jin iprit jin ikn jin korup,negatif
128,ubah geopolitik siap perintah nusantara dorong terbit ikn nusantara,negatif
129,kali bohong mas ikn tuju rakyat indonesia amat akademisi putus pindah ikn hendak elite politik ambisi pribadi aspirasi rakyat luas,negatif
130,ikn nusantara dorong arus dagang wilayah,negatif
131,ikn pindah kota,negatif
132,sanding ikn birokrasi pintu ikn baik sekolah indonesia lewat birokrasi belik tukang sunat dana sekolah sunat gubernur bupati camat,positif
133,investasi asing ikn,negatif
134,ikn nusantara dorong arus dagang wilayah,negatif
135,mobil gratis mas jabat janji jabat kuat bobrok kereta cepat utang lunas ikn pakai nyata bijak ingkar janji,negatif
136,hutan babat ikn objek muas ego,negatif
137,ikn pindah kota,negatif
138,baik lanjut ikn utang ekonomi benjut nilai tukar kerja juta murah burut hasil rakyat hanyut,positif
139,dukung ikn nusantara,positif
140,dukung ikn nusantara,positif
141,dukung ikn nusantara,positif
142,dukung ikn nusantara,positif
143,ikn maju bangsa indonesia indah,positif
144,ikn maju bangsa indonesia indah,positif
145,ikn maju bangsa indonesia indah,positif
146,ikn maju bangsa indonesia indah,positif
147,indonesia jalan bal jelang lawan alas ikn,negatif
148,bapak ikn pribadi juta orang,negatif
149,dalil mobil bukti investor asing ikn over fakta tumbuh ekonomi stop impor stop utang juta lapang kerja hasil lapang kerja anak menantu,negatif
150,sekolah internasional kampus taraf global bangun ikn detail,negatif
151,cebong bayar gada efek alam ikn emang gada malu ikn duit mana ekonomi amburadul,negatif
152,dengar investor ikn,negatif
153,tanam modal ikn nongol,negatif
154,kalo berani orang presiden ikn birit kali,negatif
155,rakyat bohong kereta cepat pakai ikn pakai uang anggap bohong,negatif
156,duduk pinggir ikn untung ketiban rezeki sewa tanah tahun,negatif
157,ikn nusantara buka babak sejarah indonesia bangun ikn nusantara indonesia harap negara maju daya saing global,positif
158,ikn alas timur masuk daftar tangan khusus,negatif
159,ikn tempat langsung sakit jiwa,negatif
160,kucur triliun kuat proyek ikn,negatif
161,guncang dunia gandeng bank raksasa akses gampang hitung detik sumber ikn pos bagi aplikasi,negatif
162,konyol halusinasi kantong investor asing antri masuk ikn,negatif
163,bangun ikn relasi dana duit,negatif
164,luncur logo hut angkat filosofi ikn,negatif
165,ikn produk gagal,negatif
166,cerdas dikit bilang investor asing ikn antri nol bukti ucap bohong,positif
167,jilat ikn muncul dalam,negatif
168,tau konser ikn,negatif
169,jahat klaim investor ikn antre masuk bilang anak tarik politik,negatif
170,ikn untung negara kacamata kacamata,negatif
171,orang salut kalo rekam jejak omong seliwer media lihat ikn tarik pesona,negatif
172,iya mas ikn unit jalan tukang,negatif
173,hasil kantor ikn juli coba seret kantor ikn juli,negatif
174,alamat ikn gang,negatif
175,mending bahas ikn,negatif
176,ikn simbol harap perata ekonomi indonesia,negatif
177,opini tayang suara merdeka gubris redaksi bahas putar kait pindah ikn libat revisi,negatif
178,ikn buah bijak wajar prostitusi,negatif
179,ikn nusantara tarik investor partisipasi garap proyek bangun kota negara,negatif
180,ikn nusantara tarik investor partisipasi garap proyek bangun kota negara,negatif
181,orang suka kerja bual bikin lema syahwat buang buang uang bangun ikn sok bikin negara gede bacot uang khayal utang bikin mangap mangap,negatif
182,investor asing darat ikn turis bule proyek nan megah,negatif
183,ikn ikn janji manis kota impi investor asing antre dompet tebal gelontor nyata dolar darat bandara turis bule,negatif
184,sengaja tim biar evaluasi batal hemat anggar biaya ikn,negatif
185,titik nol ikn beda titik nol kilometer daerah,negatif
186,enak enak kerja tempel setan ikn,negatif
187,hanya dukung ikn,positif
188,rakyat tuduh mu tukang tipu bantah tipu contoh mobil janji janji kembali indonesia ikn jalan,negatif
189,ekonomi roket investor ikn anak bohong palsu,negatif
190,laksana proses terbit,negatif
191,tuju kalo ijazah pimpin jujur motif bijak ambil ikn rakyat rendah angka sempat kerja didik paksa bikin tekor,negatif
192,bahas investor asing ikn nongol yakin presiden pidato antri investor asing ikn,negatif
193,kejam tiri kejam ikn,negatif
194,berani bilang ikn antri negara asing biaya bohong menteri investasi,negatif
195,kuasa kendali hidup tenang hantu bohong hidup jabat unit uang kantong investor ikn,negatif
196,kuasa kendali hidup tenang hantu bohong hidup jabat unit uang kantong investor ikn,negatif
197,ikn untung orang naga bonar doang rakyat untung kali kena anggur negara,negatif
198,real anggar angka depan,negatif
199,rakyat makan gratis bangun ikn didik oke gas oke gas,negatif
200,kuasa kendali hidup tenang hantu bohong hidup jabat unit uang kantong investor ikn,negatif
201,ikn investor bikin gaduh,negatif
202,bos fakta bangun ikn untung buntung jelang kalo jilat biar buka mata jilat pantat burik,negatif
203,bagus pikir indonesia depan ikn pasti,positif
204,patung siluman kelelawar ikn,negatif
205,hasil rakyat investor ikn sepi pakai fakta pakai defisit hutang tumpuk hukum bawah tumpul atas,negatif
206,bangun ikn rakyat barang bahan hasil jujur bayar kawasan ikn berkah maki doa buruk dapat ikn orang orang bayar malu sedih,positif
207,buat kau negeri sok manusia kau rezim negeri hebat kau gedung ikn,positif
208,lebih jajah inggris ikn negara negara,negatif
209,ikn proyek mercu suara ambisi pribadi restu ujung gembos uang negara,negatif
210,bangun stadion standar ikn,negatif
211,bangun ikn nusantara wujud perata bangun nasional,negatif
212,tunjuk bukti publik tuduh salah kalo modal bacot alumni kerja masuk got jahat zalim jahat sungguh ikn bukti,negatif
213,negara daulat merdeka ikn milik negara transmigran pulau ungsi indonesia waspada ganti belanda,negatif
214,emang cocok lihat gedung ikn cocok,negatif
215,bang produsen mobil kalo masuk ikn om kerja ikn,negatif
216,transaksi main semak ikn,negatif
217,buka lapang kerja ikn,negatif
218,lagak pahlawan bebas ujung gadai ikn abad lewat generasi,negatif
219,jahat main akting korban ratus juta rakyat rugi presiden palsu milu palsu syarat ijazah palsu panik jabat produk hukum produk batal hukum atur rugi rakyat batal ikn,negatif
220,tukang mobil unit pes kantong ekonomi lesat ikn kereta rel ikn bukti kaya gin percaya,negatif
221,hina periode adil delik bohong produksi bohong investor ikn bohong triliun kantong kait,positif
222,tukang investor ikn dana ijazah,negatif
223,ikn kereta rel kembali mobil label nama mobil kembali bayar utang,negatif
224,kabar mobil ikn ekonomi percaya,negatif
225,doang kaya orang tolol kalo kasih bukti until ikn jalan dasar hati benci busuk dasar anak abah,negatif
226,kalo presiden menteri pindah ikn berangkat insentif hibur gemerlap ibukota fasilitas sehat,negatif
227,anggap demokrasi sempat buka insan manusia wayang cuman bagus ikn,positif
228,peduli ijazah palsu bayar janji pas presiden lunas macet banjir gampang atas presiden duit negeri indonesia bangun lap bola duit ikn kelar,positif
229,dasar info kini proyek ikn jalan perintah relokasi target selesai infrastruktur utama anggar triliun alokasi,negatif
230,salah satu ikn buka mata tolol,negatif
231,adil usut tuntas ikn sarat tipu korup,positif
232,ijazah teliti ikn pas gigi serampang,negatif
233,dunia hati kecuali ikn,negatif
234,pimpin adil hina dunia balas akhirat tipu pabrik bangkrut gusur ikn mandalika korban adil allah,positif
235,anggar ikn latih tenaga kerja investasi industri padat karya dampak tingkat pasu pajak buka lapang kerja biaya anak sekolah makan gizi,negatif
236,bijak bangun tol trans tol trans kereta cepat ikn miris lihat jalan dua pulau aspal lebar meter doang itu jalur sempit,negatif
237,utang konsumtif ikn kereta cepat bandara mandalika trans,negatif
238,larang tangkap direksi komisaris ikn via,negatif
239,lolos uji kereta otonom ikn retur rangkai transit nilai gagal operasi otonom imbas kereta rel ikn kembali ikut kompas,negatif
240,heran mah kerja indonesia melulu contoh ikn,negatif
241,ikn hadir rapat bangun markas ikn,negatif
242,bin tempat kantor modular ikn bin pindah kantor kantor ikn dukung penuh aman kota,positif
243,keramat daerah sangga ikn,negatif
244,arti hina umbar bohong uang saku sen mobil orang investor asing ikn,negatif
245,preman bina sak,negatif
246,otak kontraktor bom bayar tahun ikn istana lendir perak rupiah masuk kas negara gizi otak biar gampang banyak,negatif
247,hun pindah ikn,negatif
248,inti prasasti prasasti ikn legenda rakyat gaya agama kantong duit siksa rakyat,negatif
249,kek tugu ikn,negatif
250,duit habis ikn,negatif
251,mem hina ikn biaya negara buat hina ratus investor ikn negara buat hina,negatif
252,anggap investor investasi ikn tuan,negatif
253,bayang dana ikn selesai rakyat sadar ikn proyek legasi pribadi proyek konyol situasi pindah kota gagas salah paksa salah buah tolol sempurna,negatif
254,jalan kaki batas ikn,negatif
255,ikn tanah duit,negatif
256,kampus mah ikn,negatif
257,banding dampak bijak mu rakyat ikn banding rasa tinggal lagak derita dampak palsu bikin rakyat negara sengsara,negatif
258,bangun bain utang karuan ampe ikn cuman sarang om pindah kesana bawa keluarga ayo semangat,negatif
259,hutang gunung ikn paksa rakyat butuh tambang nikel hilir amburadul salah lupa ingat,negatif
260,luncur kartu visa virtual belanja pakai dapat hadiah sumber ikn pos bagi aplikasi,negatif
261,marak prostitusi kawasan ikn,negatif
262,anggar kota nusantara ikn triliun bangun baik sekolah butuh biaya miliar sekolah bangun baik sekolah,positif
263,salah bahan ikn fakta detik ikn henti total,negatif
264,triliun duit ikn renovasi sekolah rusak asumsi sekolah negeri miliar juta sekolah ato baik infrastruktur iya,positif
265,investor negeri kabur korupsi rajalela preman jamur ikn lengkap derita negara,negatif
266,anggap hancur total desa hidup laut buang limbah batu bara laut ikn daerah pesisir hilang ubah warna tekstur air budaya hancur aktivis adat sawai,negatif
267,bijak efisiensi bayar utang jatuh tempo liat dampak efisiensi honorer menteri henti tugas proyek bangun putus tengah jalan ikn tol lintas,negatif
268,amat selesai bangsa bebas pengaruh ekonomi politik sosial hancur dana negara bangun ikn,negatif
269,bohong swa sembada bohong tumbuh bohong bohong anak jabat bohong omong,negatif
270,duga huni ikn,negatif
271,ikn kota prostitusi,negatif
272,contoh ikn bagus mana bang ken tau serius logis bangun kota kota coba pikir resmi buka buka,positif
273,pedang trisula ikn rudal sar sinyal kuat,negatif
274,loh ikn kah kota mati,negatif
275,dukung tugas analisis ikn senang hati moga,positif
276,polisi daerah timur serta staf jajar mei kabupaten najam paser utara,negatif
277,indonesia kampus ikn,negatif
278,bohong mobil ikn bohong salah alamat demo solo,negatif
279,bangun ikn rampung tol jual swasta jalan,negatif
280,tanah bumi laut hukum ikn milik,negatif
281,duduk ami ikn,negatif
282,kelas orang cuman banget debat ikn ikn hasil,negatif
283,final ikn iya lurah,negatif
284,ikn kota open,negatif
285,bilang bilang ikn investor anggap akal sehat suka jujur,negatif
286,ikn bagus makan media perintah papar ikn ama linear bangun negara,positif
287,ekonomi roket roket roket ikn antri investor antri antri unit bingung lipat inden inden,negatif
288,visi misi program jebak citra pas beliau bilang bikin program kelas menteri uang berat perintah habis bangun ikn parah wakil konstitusi tutup mata,negatif
289,biar ikn geliat ikut hukum alam gula semut huni tikus,negatif
290,kerja cari sensasi tipu ikn,negatif
291,ken hemat anggar bubar ikn kurang hasil anggota dewan batas komisaris jalur sodok rawan fasis orang miskin,negatif
292,ikn nusantara kota cerdas indonesia,positif
293,video hadir bicara isi janji hal ikn janji,negatif
294,ikn jadi indonesia maju,positif
295,ikn jadi indonesia maju,positif
296,ikn jadi indonesia maju,positif
297,ikn jadi indonesia maju,positif
298,ikn jadi indonesia maju,positif
299,bisa incar kerja ikn fokus kerja hasrat,negatif
300,ikn status ape ibukota negara ama model embat,negatif
301,lembaga internasional andil lanjut bangun ikn,negatif
302,tancap gas sambut ikn fokus bangun,negatif
303,fakta uang zakat infak pakai bangun masjid ikn,negatif
304,ikn sepi ramai open,negatif
305,trik biar anak istri tugas ikn langsung tau resiko,negatif
306,kerja ikn emang hotel bintang cuman ikn banget,negatif
307,kerja ikn emang,negatif
308,jabat presiden harta taksir capai ribu triliun hasil korupsi ikn,negatif
309,wakil presiden ting enak udel kait dunia didik depan adab moral anak bangsa baik sekolah rusak suruh ikn,positif
310,sekolah ikn urgen uang negara bangkrut,negatif
311,efek ikn sepi ramai open,negatif
312,sengaja sesuai resmi guna kantor presiden ikn,negatif
313,ikn ratus triliun untung mana tanya urgensi ikn,negatif
314,tuju bangun ikn,negatif
315,ikn dorong kembang infrastruktur modern transportasi cerdas layan publik digital tingkat kualitas hidup masyarakat kuat daya saing global indonesia,positif
316,ikn simbol transformasi bangsa indonesia maju kota bangun semangat gotong royong,positif
317,ikn rancang kota hijau pintar ramah lingkung modern lanjut generasi,positif
318,bangun ikn pindah kota langkah nyata wujud indonesia adil rata sabang,positif
319,ikn nusantara buka peluang kerja investasi perata ekonomi indonesia,negatif
320,ikn las dukung ikn las indonesia,positif
321,tinggal tetap ikn super bohong,negatif
322,puja ikn sila,negatif
323,puja ikn sila,negatif
324,dukung penuh bangun kota nusantara pusat perintah hijau modern lanjut,positif
325,dukung penuh bangun kota nusantara pusat perintah hijau modern lanjut,positif
326,coba lihat berita jorok kotor kaum blepot malu sampai berani narasi berita berita jijik neng lihat ikn ikn,negatif
327,kalo ekspor ikn,negatif
328,terima kasih giat ekonomi ikn bangga,negatif
329,pindah kota pindah strategi ikn mesin ekonomi indonesia,negatif
330,kalo investor antre masuk ikn,negatif
331,emang tuju utama bangun ikn,negatif
332,ikn sarang prostitusi kota lendir parah serbu,negatif
333,ikn raya pas musim buah ada bazar buah buah ikn negara subur bagus,positif
334,emang rancang gaduh mas reda pagar laut lanjut ikn pesan ribu armada curiga emang gang solo cipta,negatif
335,preman pindah ikn biar,negatif
336,kota luka bilang ikn simbol kota pintar pusat adab genap fondasi ering bau transaksi tubuh tetap negara kirim negara biar ruang tumbuh ribu,negatif
337,biar ikn hibur kuat sepi,negatif
338,open marak ikn huni ikn fenomena picu resah sosial tantang tega hukum,negatif
339,daftar beli hitung mending investor ikn,negatif
340,salut tugu mas taruh ikn,negatif
341,beliau kawal proyek ikn lenyap hilang berita,negatif
342,gus ikn paksa hutang bengkak,negatif
343,salah jamaah tanah sewa kontraktor ikn kantor kali jamaah orang,negatif
344,wak pas debat orang ikn ikn ama misuh orang ikn,negatif
345,laksana proses terbit,negatif
346,jabar tampung takut pindah ikn seleksi,negatif
347,lolos ikn maha indonesia gelap penuh luka,negatif
348,ikn negara sungguh hebat,positif
349,kota nusantara ikn kota negara indonesia mei fungsi kota bangun ikn timur target selesai penuh ikn rencana pindah,negatif
350,untung pusat ikn,negatif
351,untung proyek ikn kroni keluarga,negatif
352,bikin negara ikn angkut puja biar negeri aman tenteram damai,positif
353,mending ikn mati langkah ijazah remeh,negatif
354,cerita usaha tipu bangun ikn,negatif
355,jabat kerja bual rakyat juta rumah kasus investor ikn ratus minat,negatif
356,rakyat garis miskin capai turun cerdas ikn,positif
357,warna cocok ikn,negatif
358,kadang dengar satire ikn simbol adab masuk kontradiktif cermin prioritas kesiap moral taruh,negatif
359,ikn lawak orang lupa ikn ladang korup ribu triliun diam gagal,negatif
360,ikn candi raksasa besar dunia mana,negatif
361,lillahi masuk ikn liput mei,negatif
362,loh jajal kereta rel ikn harap kota bikin kembali jajal uji coba apresiasi ide cemerlang kota ikut kereta rel lopor,negatif
363,alhamdulillah teman bain ikn,negatif
364,duit ribu saku laku unit mesin tani pes impor investor ratus antri ikn investor asing ikn,negatif
365,kereta rel ikn kembali dasar hasil nilai evaluasi temu sistem trem otonom fungsi,negatif
366,program jalan bangun ikn sayang perhati ikn takut serang benci,negatif
367,ikn jadi pusat didik budaya asrama,negatif
368,libas bilang ikn investor asing debat investor asing masuk pimpin bohong,negatif
369,hubung mending anggar dubes alokasi program ikn,negatif
370,asli kalo dana ikn pakai bangun sekolah rekrut guru bagus perata didik beli fasilitas sekolah ratus sekolah didik masuk daftar prioritas,positif
371,moga presiden siuman khianat bangsa rampok biadab asing alam kubur bikin kubur massal luas ikn kalo ziarah situ kolega keluarga jahat kasih,negatif
372,tolak konser cari sensasi ikn bangun solar perintah komitmen laku perata ekonomi indonesia,negatif
373,bilang investor ikn,negatif
374,rekayasa tim acara bohong media tipu suka bohong ikn tahu jalan istana bogor tipu kau,negatif
375,tau bikin program boros ikn,negatif
376,kabar kabar tengah weh kek ikn,negatif
377,lancar ikn ganggu juta lapang kerja emang nyata,negatif
378,ikn ikn perata kah merta titik logis kota liat ikn,negatif
379,gantung ikn bagus bareng dukung,positif
380,anda hidup kuliah kampus beliau bangga ijazah jurus kayu arsitek bikin ikn,negatif
381,ikn kota modern coba lihat besar trotoar coba lihat kota rancang trotoar man kendara pribadi kena rumput percaya beliau pegang ikn,positif
382,bukti bukti palsu repot tuduh ijazah palsu palsu kantong pes unit investor ikn asli manusia pegang omong bang,negatif
383,kak ikn kayak kunjung ikn,negatif
384,main kelas cenderung kasar wajar presiden kangkang otoritas pimpin tinggi panik polemik palsu goyang ikn henti panik,negatif
385,ikn bagus kak,positif
386,tuju beli uang negara sumber ikn pos bagi aplikasi,negatif
387,ikn bakar culik,negatif
388,mantap solo tinggal ikn,positif
389,satu investor ikn debat anak bohong,negatif
390,dungu kau puja triliun ikn,negatif
391,rendah gin nama alias uji coba kuat kondisi alam ikn kuat kembali paham om,negatif
392,daerah sekitar ikn air beli,negatif
393,proyek ikn budaya musyawarah mufakat egois bijak,negatif
394,raja kodok tebar ikn bangun maksiat,negatif
395,duduk kota ikn tau,negatif
396,rapat kerja komisi menteri pan kait pindah kota nusantara rencana pindah ikn insentif khusus,negatif
397,gede ikn main,negatif
398,kek investor ikn rezim lanjut,negatif
399,bang ikn buaya,negatif
400,kalo bohong jago liat fasih bohong investor ikn,negatif
401,kakak ibukota mosok ikn,negatif
402,ikn semarak gemerlap anut indonesia gelap maki kecewa berat,negatif
403,ijazah hutang impor ikn kereta cepat,negatif
404,hati kritik ikn kasus orang suku kau simpul obyektif komentar,negatif
405,fakta oligarki pelihara bukti andil ambil putus nasib bangsa pagar laut ikn koruptor manja hukum mat rampas,negatif
406,ikn bohong bohong bohong kuat bohong tuhan buka pintu tobat bohong aku bohong maaf rakyat indonesia sadar bohong cari halal,negatif
407,ragu lulus luah upil percaya ikn buat,negatif
408,beliau hobi banget riding isu panas jalan isu ikn ijazah baru vasektomi tanya situ ato,negatif
409,butuh bikin ikn harga sekolah,negatif
410,ratus proyek ikn dana baik jalan camat desa,positif
411,ikn kota bela ikn suruh ikn minggu,negatif
412,otak tolol percaya bual investor antri ikn anak,negatif
413,kunyah dok telan,negatif
414,gelar ikn nusantara riah hut media,negatif
415,hantu ikn kah,negatif
416,langgan tukang staf kontraktor proyek ikn,negatif
417,ikn remeh kota,negatif
418,ikn khusus pasar malam acara selesai panitia pulang,negatif
419,kereta rel ikn,negatif
420,pawang kocak kirim ikn,negatif
421,efisiensi alih ikn ibukota negara,negatif
422,kecoh ikn asai jadi pusat judi maksiat ikn jadi alih,negatif
423,bangun bang miring kali ikn kota mati untung niat banget bela tipu,negatif
