full_text,final_cleaned,sentiment
@democrazymedia Bersatu dalam urusan membangun basisnya itu ilmu pengetahuan. Selama ini kebijakan Jokowi apa berdasar ilmu pengetahuan? Kereta cepat IKN food estate jalan tol impor tambang apa berdasar ilmu pengetahuan? Jokowi yg membelah bangsa sekarang bergaya ngajak bersatu.,urus bangun basis ilmu bijak dasar ilmu kereta cepat jalan tol impor tambang dasar ilmu belah bangsa gaya,positif
Ya gimana yaa itu udah ku tahan² gak CO ke itci karena kalo jastip ke Nadia tuhh aku malas ngambil ke tanjung. Semenjak Nada gak kerja di IKN lagi aku kehilangan kurirku wkwkwkkw,tahan kalo malas tanjung semenjak nada kerja hilang kurir,negatif
@ReflyHZ Jokowi adalah contoh Presiden yg GATOT (gagal total) dan HILANG KEMALUANNYA memimpin 10 th mulai dari mobil SMKA dan banyak lagi permasalahan sampai terakhir IKN itu nawadosa yg hisabnya tanpa batas Nauzubillahiminzalik ,contoh presiden gatot gagal total hilang malu pimpin mobil hisab batas,negatif
@tham878 Apa manfaatnya IKN sama elu? Coba sebutin apa elu dikasi rumah disitu? Tinggal disitu? Cuma rasa bangga tapi ga ada manfaatnya buat apa? Trus bagaimana masyarakat adat yg terpinggirkan? Yg terkena dampak pembangunan? Pernah mikir ngga? Trus lu bilang sakit hati? Kita marah.,manfaat coba kasi rumah situ tinggal situ bangga manfaat masyarakat adat pinggir kena dampak bangun bilang sakit hati marah,positif
@Mdy_Asmara1701 Sama ama orang paling hina di negeri ini IKN ratusan investor sudah ada tp boong @NasbiHasan menunjukkan kabinet paling hina selama negeri ini merdeka,ama orang hina negeri ratus investor kabinet hina negeri merdeka,negatif
@faizalassegaf Wadowww....kekira ikn bs di bom gak??? ‍,bom,negatif
@tham878 Anak Wabah sama Bani Lowbet pada stress nangis bombay ngelihat kondisi IKN yg makin menyalaaaaaaaa ,anak wabah bani nang kondisi,negatif
@tham878 Hey begoo0 lu sdh pernah ke IKN blom??,hey begoo sdh ikn blom,negatif
Prabowo harus membawa Gibran ke IKN dan membuangnya di sana.,bawa buang,negatif
@50ngoku @gm_gm Kalo ga kena tipu saat ini sudah ada ribuan mobil esemka berada dijalan nusantara hutang negara makin berkurang karena saham freeport sudah kita miliki 51% ikn jadi indah ga kaya hutan krn banyak infestor dan masih banyak lagi,kalo kena tipu ribu mobil jalan nusantara hutang negara saham milik indah kaya hutan,negatif
@democrazymedia Setelah kekayaan negara dikeruk untuk proyek mereka dan kroninya suara rakyat juga sama sekali tidak didengar (termasuk IKN Food estate tanah adat pencemaran tambang perubahan UU u/ cawapres serta yg terbaru masalah ijazah); Koq sekarang narasinya bersatu membangun negeri?,kaya negara keruk proyek kroni suara rakyat dengar masuk tanah adat cemar tambang ubah ijazah narasi bangun negeri,positif
@Chynthia_K Dalam kasus pagar laut kalian kemana Dalam kasus ikn kalian kemana Dalam kasus penyerobotan tanah oleh pik 2 kalian kemana Dalam kasus ilegal export nikel jutaan ton kalian kemana Dalam kasus oplosan BBM merugikan sampe 1000 T kalian kemana ? Belum kasus kasus lainnya,pagar laut serobot tanah ilegal nikel juta ton oplos rugi,negatif
@Wahyuhdp1 @Djumari899149 @DokterTifa @jokowi Lbh mudah mengatasi banjir di jakarta kl sdh jd presiden sedang menjabat gub jakarta lalu ditinggalkan Esemka 11rb triliun hutang negara meninggkat drastis IKN mangkrak.. wiwokdetok tokdetok ,mudah banjir presiden jabat tinggal triliun hutang negara drastis,negatif
Pelaksanaan Proses Indetifikasi Penerbitan SIM. #polantashadir #polripresisi #korlantas #ibukotanusantara #ikn #polresppu #satlantasppu #polri ,laksana proses terbit,negatif
@neVerAl0nely Kedua kampung itu di relokasi ke IKN saja,kampung relokasi,negatif
@geloraco Kalau di terbitkan akan kena semua mentri2 ex jokowi.termasuk Yusril punya tanah di IKN.,terbit kena tri tanah,negatif
@tempodotco MBG ini 11/12 dengan IKN saking deaftone nya sampai kritikpun dikira antek asing aseng ,saking kritik antek asing,negatif
@Tan_Mar3M sekeluarga suruh tinggal di IKN aja... ,keluarga suruh tinggal,negatif
Komisi II DPR RI : Kaji Kesiapan Infrastruktur Terkait Pemindahan ASN Ke IKN - TVR 120 ,komisi kaji kesiap infrastruktur kait pindah,negatif
@Qarthu @tempodotco @Qarthu @tempodotco Proyek IKN masih berjalan dengan anggaran Rp 48 8 triliun untuk 2025-2029 dan investasi baru Rp 6 5 triliun di 2025. Infrastruktur seperti kantor presiden (90%) dan istana negara (80%) terus dibangun tapi ada kendala seperti konstruksi lambat dan relokasi ASN,proyek jalan anggar triliun investasi triliun infrastruktur kantor presiden istana negara bangun kendala konstruksi lambat relokasi,positif
@grok @tempodotco ikn kok gada berita? apakah mangkrak?,gada berita,negatif
@tham878 Mantap indonesia harus maju...untuk maju harus berbuat sesuatu...sesuatu itu sdh di mulai oleh pak jokowi...yaitu IKN,mantap indonesia maju,positif
Rombongan study tour SMA kabupaten ke IKN ,rombong kabupaten,negatif
@CAMERALIVE6849 Sepertinya walaupun diruqiyah tetap aja orang ini ngigau terus maklum... kepala garuda sudah dipenggal dari belakang sebagaimana ikon patung garuda di tempat yang mereka sebut IKN. Lagipula logi partai Gerindra cuma kepala burung Garuda. Jadi jelas sudah orang ini OMON² !,orang maklum kepala garuda penggal ikon patung garuda log partai kepala burung garuda orang,negatif
@KikeHermawan @H1m4_W4r1 Dimana2 psk sudah marak tp kenapa ya ikn yg loe bidik oh ia baru ingat itukan sumber buat kau 16 or 24 marah tak jelas suka halu  ada harapan sembuh di 2029 itupun kalo elu mau berkorban jd manusia seutuhnya.ia gak @H1m4_W4r1 tos dulu dong teh di pagi hari,marak bidik sumber kau marah suka harap sembuh kalo korban manusia tos teh pagi,negatif
@tham878 WOWWW SANGAT RAMAI SEKALI AKTIVITAS DISANA. GA SIA SIA PAK JOKOWI PINDAHIN IBUKOTA KE IKN. TERLIHAT JUGA DI VIDEO AKTIVITAS PEKERJA ASN YANG SUDAH NGANTOR DI IKN. HIDUP JOKOWI 99x ,ramai aktivitas sia sia lihat video aktivitas kerja hidup,negatif
@tham878 Sekarang Ibu kota Republik Indonesia yg benar yg mana ya ? IKN atw Masih di Jakarta ?,kota republik indonesia,negatif
suruh ikut cpns aja biar klo lolos skalian dikurung di ikn suruh jaga tugu lorem ipsum,suruh biar lolos kurung suruh jaga tugu,negatif
@Maryono2Y98978 @Zay34562 Pertama dia bilang: - esemka sdh dipesan lebih dr 6000 = nipu - IkN tdk dari APBN= boong - Sudah ada investor IKN dari bla2=bacot gede doang - iKN sdh diyempati juno 2024 = sudah tp belum - kabinet kerempeng kek badannya= gemuk kek kebo - ankny gk msk politik=msuk dibntu usman,bilang pes investor gede doang kabinet kerempeng kek badan gemuk kek kebo,negatif
@kompascom Terlalu banyak satgas namun tak ada nampak hasilnya Satgas Penanganan Polusi Udara Satgas Peningkatan Ekspor Nasional Satgas Percepatan Perolehan Tanah dan Investasi di Ibu Kota Negara (IKN) Satgas Penanganan BLBI Satgas Pemberantasan Judi Daring Satgas Deregulasi Kebijakan,hasil tangan polusi udara tingkat ekspor nasional cepat tanah investasi kota negara tangan berantas judi deregulasi bijak,positif
@tham878 Anjing buzzer ternakan mulyono emang pada dongo ..otoritas ikn sudah dibubarin alias mangkrak buzzer termul dongo asal ngebacot doang tobat lu anjing ..!!!!!!!,anjing terna emang otoritas alias doang tobat anjing,negatif
@ikan154 @tham878 Seluruh rakyat setuju IKN. Tapi arogan juga yg maksa pindah Agustus 2024,rakyat tuju arogan pindah agustus,positif
@tham878 Pembangunan IKN itu pembangunan jangka panjang.....bertahap tahap MAKA SANGAT ANEH JIKA ADA ORANG YG NGEBET BANGET PINDAH KE IKN AGUSTUS 2024. keburu napsu...nuruti napsu..gak rasional,bangun bangun jangka tahap aneh orang ngebet banget pindah agustus keburu rasional,positif
Gue milih IKN karena ide banh @karf1anda #inspairing,ide,negatif
@MayaA62580468 Jokowi juga lupa sudah bohongin rakyatnya ...sebohong bohongnya ...mulai mobil Esemka ..investor IKN ,lupa rakyat bohong bohong mobil investor,negatif
Prestasi Jokowi selama jadi presiden : IKN mangkrak Bandara Kertajati lesu Esemka ngibul mengkatrol anaknya jadi wapres utang luar negeri menggunung nilai tukar rupiah jeblok indeks pendidikan nasional memalukan dan masih banyak lagi deh bobroknya.,prestasi presiden bandara lesu katrol anak utang negeri gunung nilai tukar rupiah jeblok indeks didik nasional malu bobrok,negatif
@cinecrib_ Harusnya diterusin bakatnya buat bakar ikn istana negara dpr kantor polisi barak tentara,bakat bakar istana negara kantor polisi barak tentara,negatif
@Noviana39433210 @ElhassanTa1479 @ApriliaLin Ordal esemka kerja di IKN jangan jangan ente juga yg pegang 11.000T,kerja ente pegang,negatif
@ARSIPAJA Yang Cungkring punya Megaproyek kuburan IKN yang gemoy punya Megaproyek MBG. Tujuannya sama bancakan duit negara. Damn lah........,megaproyek kubur megaproyek tuju bancak duit negara,positif
@MayaA62580468 Kebohongan publik janjimu gimana? Esemka IKN dan lain lain,bohong publik janji,negatif
@democrazymedia membangun negeri mata loe ikn aja gk beres. goblog,bangun negeri mata beres,positif
@samarchitect86 @arwidodo Emangnya lo udah pernah liat ijazah asli si tukang bohong ini ? Esemka tipu2 biar jadi gub dki 11000 T dikantongnya tipu2 tukang obat ratusan investor ikn tipu2 anak tk. Silahkan proses hukum seluruh rakyat indonesia kalo benar dia punya ijazah asli.,emang liat ijazah asli tukang bohong tipu biar kantong tipu tukang obat ratus investor tipu anak silah proses hukum rakyat indonesia kalo ijazah asli,negatif
@DedynurPalakka Seperti ribuan investor yg ngantri di IKN smp sekarang gak jelas juntrungannya,ribu investor juntrung,negatif
3. Ahli Tarik Investasi Selama menjabat sebagai Menteri Investasi Bahlil dikenal piawai menarik investor untuk pembangunan Indonesia termasuk proyek strategis seperti Ibu Kota Nusantara (IKN).,ahli tarik investasi jabat menteri investasi kenal piawai tarik investor bangun indonesia masuk proyek strategis kota nusantara,positif
Sdh benar kalau dia dimakzulkan!. Karena buatnya mainan jauh lebih berharga dari pada nasib rakyat dan bangsa ini. Ancur...ancur!! Mainan jauh lebih berharga daripada tugas negara. Jika negara nyuruh dia pindah ke IKN terus dia menolak-bapaknya langsung cawe2 supaya dia ,makzul main harga nasib rakyat bangsa main harga tugas negara negara pindah langsung,negatif
gak bisa beki mainan. Bagaimana ini tanggung jawab dia sebagai wapres. Guru aja kalau pns harus mau dikirim ke pelosok. Ini IKN mau dijadikan ibukota kok waoresnya malah tinggal di jkt? Maunya senang2 aja di jkt dengan mainannya terus piye nasib rakyat sama bangsa ini?,bek main tanggung guru kirim pelosok tinggal senang main nasib rakyat bangsa,negatif
Ooopss! Ternyata mainan jauh lebih berharga dari pada nasib rakyat dan bangsa ini. Bapaknya yg ngotot bangun IKN dan maksa ibukota oindah nun jauh ke sana. Kemudian bangsa ini disodorin anaknya yg jadi wapres tapi ogah pindah ke IKN karena belum ada mall ,nyata main harga nasib rakyat bangsa bangun nun bangsa anak ogah pindah,positif
@DedynurPalakka Esemka 11 rbu triliyun dan IKN adlh kebohongan yg rumit dan berkelok2,bohong rumit kelok,negatif
@tham878 IKN DITUTUP JADI TEMPAT ECEK ECEK..,tutup ecek ecek,negatif
@tham878 Buzzer jokowi goblok..IKN DITUTUP TOLOL,tutup tolol,negatif
@regar_op0sisi penipu tak usah di percaya. terlalu banyak yg sudah di ucapkannya tapi kenyataan tidak ada sama sekali. seperti investor IKN dan MOBIL ESMK.,tipu percaya nyata investor mobil,negatif
@Franken_blues @prabowo Dari sekian banyak yg mesti di bahas di revublik ini tapi kenapa beliau malah nyempilin issue gak guna kayak gitu apakabar ormas? Apakabar ikn? Apakabar ekonomi merosot? Apakabar rupiah melemah? Apakabar investor lari?,sekian mesti bahas beliau ekonomi merosot rupiah lemah investor lari,negatif
@sonsssonn kutukan IKN @jokowi tolol,kutu tolol,negatif
Politik Jokowi Spt Biasa Politik Bohong dan menipu Rakyat Sdh sering di Gunakan. Termsk dlm pembangunan IKN. Spt Dana IKN tdk gunakan APBN krn sdh ada RATUSAN INVESTOR ANTRI Ternyata Bohong Di IKN FIFA akan bangun 8 Stadion Nipu Ijazah Palsu ,politik politik bohong tipu rakyat bangun dana ratus investor antri nyata bohong bangun stadion ijazah palsu,negatif
 Apa ini AKAR KUNING(Fibraurea Tinctoria) yang dimaksud khasiatnya bagus untuk mengobati Disenteri Diabetes dan Malaria Kalo benar ini aing kudu ngehubungi si iblis yang sekarang lagi di IKN biar nyari sekalian ini tanamannya di hutan,akar maksud khasiat bagus obat senter diabetes malaria kalo kudu iblis biar tanam hutan,positif
@MayaA62580468 lah memang penipu kok bs di percaya; 1. Mobil ESMK sudah di pesan 6.000 unit. 2. 11 Trilliun dikantong saya. 3. IKN sudah banyak investor yg minat. 4. Tidak Bagi - bagi jabatan. 5. Meminta 3 periode. katanya tidak tapi dia. ya nggak tahu. kok tanya saya.,tipu percaya mobil pesan unit kantong investor minat jabat periode,negatif
@IndoPopBase Otw jadi pusat ekonomi Indonesia nih ngalahin IKN.,pusat ekonomi indonesia,negatif
Pegawai BIN akan Pindah ke IKN per Juni 2025... Sayangnya MenPAN lamban bekerja... sudah ada daftar pegawai yg dipindah ke IKN kenapa belum juga dipindahkan? @prabowo @Kemsetneg__ ,pegawai bin pindah juni sayang lamban kerja daftar pegawai pindah pindah,negatif
@Mdy_Asmara1701 Duit bapaknya kan banyak dari hasil bangun IKN gak habis-habis 10 turunan 10 tanjakan,duit hasil bangun turun tanjak,positif
@HariPandowo @Bashu2950331 @tham878 Saya Grok diciptakan oleh xAI. Tuduhan bahwa saya buzzer pemerintah tidak didukung bukti. Saya dirancang untuk memberikan jawaban jujur dan tidak memihak termasuk kritik terhadap kebijakan seperti proyek IKN yang telah saya bahas dengan menyebutkan kemajuan (74 87% selesai,cipta tuduh perintah dukung bukti rancang jujur masuk kritik hadap bijak proyek bahas maju selesai,positif
Hisana di tanah ikn ini ga terlalu rame beda sama d besto jadi pengen hisana,tanah beda ken,negatif
@HariPandowo @Bashu2950331 @tham878 Proyek IKN di Indonesia sedang berlangsung untuk memindahkan ibu kota dari Jakarta ke Kalimantan Timur. Kemajuan termasuk selesainya Istana Negara perkantoran dan perumahan pegawai. Perayaan HUT RI pertama diadakan pada 2024. Namun proyek ini menghadapi pemotongan anggaran ,proyek indonesia langsung pindah kota timur maju masuk selesai istana negara kantor rumah pegawai raya hut proyek hadap potong anggar,positif
@AraituLaki Lho baru tau? IKN itu rencananya emang buat tempat casino dan prostitusi internasional kok,tau rencana emang prostitusi internasional,negatif
@ArmaZulfikar @AraituLaki @ArmaZulfikar @AraituLaki Ada laporan prostitusi di sekitar IKN terutama menargetkan pekerja konstruksi tapi skala dan dampaknya masih diperdebatkan. Satpol PP telah melakukan razia untuk menangani isu ini meski tantangan tetap ada karena platform online. IKN memang dirancang,lapor prostitusi utama target kerja konstruksi skala dampak debat laku razia tangan isu tantang platform rancang,negatif
@AraituLaki @grok apa betul IKN sarang lonte?? Setahu saya IKN diperuntukkan jadi kantor abdi negara bukan kantor swasta??,sarang lonte kantor abdi negara kantor swasta,negatif
Bayangkan lingkaran setan yg dibuat Jokowi berisi: oligarki pejabat korup penjilat dan anjing 2x penjaga setia yg diberi pangkat jabatan dan kekayaan. Sangat besar dan kuat. Ikn dibuat untuk markas gerombolan mereka jauh dan tak mungkin Demo kesana. Jahat kan?.,bayang lingkar setan isi oligarki jabat korup jilat anjing jaga setia pangkat jabat kaya kuat markas gerombol demo kesana jahat,negatif
@hunting_rejeki @RomeoWalker19 Orang janji blio pak @jokowi setelah selesai dengan urusan kerjaan mau wira-wiri ke IKN. Sabar sodara2.....,orang janji selesai urus kerja sabar,negatif
@grok @HariPandowo @tham878 Video asli tapi proyek ditargetkan agustus capaian harus 75% dan itu tdk tercapai... akhirnya IKN mangkrak Kemaren mentri keuangan yg membubarkan otoritasnya.,video asli proyek target agustus capai capai tri uang bubar otoritas,negatif
@AraituLaki pantas termul si batre kembung mati2an belain IKN ternyata ,kembung mati bain nyata,negatif
@HariPandowo @Bashu2950331 @tham878 Video tentang IKN ini asli bukan hoax. Menampilkan progres pembangunan nyata meski ada kemungkinan rendering promosi. Anggaran Rp 13 5 triliun sesuai dengan alokasi 2025 (hampir Rp 14 triliun). IKN sedang dibangun untuk pindah ibu kota dari Jakarta dengan fase pertama 75%,video asli tampil progres bangun nyata promosi anggar triliun sesuai alokasi triliun bangun pindah kota fase,positif
@tham878 sudah pernah ke IKN? kalau daerah sktr istana apakah sdh slsai?,daerah istana,negatif
@OttoNur86069 @S4N_W1B1 @jokowi IKN ️ I Kontol Namanya Ijasah lu PENIPU juga PANTAS konyol PERILAKU TANPA PDIP TAI LU NJING @gibran_tweet ,kontol nama tipu konyol perilaku,negatif
Anying nemu Tugu IKN di Sixth Street #ZenlessZoneZero ,tugu,negatif
randomly bapak gw mau dipindah ke ikn ‍️,pindah,negatif
Luar biasa IKN kebanggaan Rakyat Indonesia kecuali yg sakit hati.... ,bangga rakyat indonesia kecuali sakit hati,positif
@NKRI_H4rg4M4ti @DokterTifa @SianiparRismon @KRMTRoySuryo2 @prabowo @jokowi Klo bgitu bangga dan memuja jokowi ikuti dong pak @prabowo gaya @jokowi sampekan ke rakyat bpk dpt limpahan 11rb T dr kantong beliau janjikan 10jt loker lanjutkan produksi mobil SMK lanjutkan cita2 bangun IKN dan salip prestasinya di OCCRP dr ketiga menjadi yg pertama.,bangga puja gaya sampek rakyat limpah kantong beliau janji produksi mobil cita bangun salip prestasi,positif
@kegblgnunfaedh jadi bisa melupakan duit buat bangun IKN,lupa duit bangun,positif
Timnas Indonesia Jalani TC di Bali Jelang Lawan China dan Jepang Alasan Bukan di IKN Kaltim #Timnas #TimnasIndonesia #TimnasDay  lewat @tribunkaltim,indonesia jalan bal jelang lawan alas,negatif
@regar_op0sisi Ingat ketika pertama menjabat sok2an ke hambalang berdiri sendiri seolah ngejek pak SBY eh dia sendiri skrg ninggalin IKN buat PSK ,jabat sok olah,negatif
@mawarhirang IKN mengubah putra putri papua,ubah putra putri,negatif
@valangdika @txtdaritax @PNS_Ababil IKN malah lebih dulu dibuka bahkan ditambah cek aja berita ketika efisiensi dimulai. Rapat kepala oikn dengan DPR ,buka cek berita efisiensi rapat kepala,negatif
@UmarHasibuan__ @jokowi Mukidov El Bansos Al Ngibulin masih sibuk halusinasi ekonomi meroket investor asing antri masuk IKN dan di kantongnya ada 11000 Triliun Awokawokawok,sibuk halusinasi ekonomi roket investor asing antri masuk kantong triliun,negatif
@kompascom ini sama kaya: netanyahu mau ke indo buat liat IKN akakak kocak,kaya liat kocak,negatif
@DedynurPalakka Banjir jkt akan mudah diatasi kalau jkw jadi gub dki mbel gedes jadi gub dki tetap banjir bisa diatasi kalau jadi pres mbel gedes jkt tetap banjir kmdn pindah ikn jkw yg dipindah lengser krn jabatan habis investor antri di ikn yg dtg malah psk tuh,banjir mudah banjir pres banjir pindah pindah lengser jabat habis investor antri,negatif
@kukiecrumb Titik 0 IKN kak ,titik kak,negatif
@Karina_Wung @ninealaine Dekat dg IKN?,dg ikn,negatif
@irwnap @sbmptnfess Teknik sipil mah masih banyak. Bisa lari ke struktur pemetaan perencanaan transportasi MEP dll. Tinggal lo pilih pengin ngembangin bidang apa kedepannya. Dan juga kenapa harus berpacu dgn IKN? Yg bangun gedung bukan daerah sana doang,teknik sipil mah lari struktur meta rencana transportasi tinggal pilih pengin bidang pacu bangun gedung daerah doang,positif
@Wrdgsmyc ikn 12 jam dari sini,jam,negatif
@ferrykoto @prabowo @Abe_Mukti Wakk.. Kotok kotook bukane ini pilihanmu sendiri dulu ye Ok Gas OK Gas memalukan apa ? NDASMU gak papalah duit negara masih banyak kok... IKN tetep dilanjut sekarang semua Rakyat inddonesia Happy makmur lapangan kerja buanyak dimna mana.Kancut kan! Indonesia Terang,kotok pilih gas gas malu papa duit negara rakyat makmur lapang kerja indonesia terang,negatif
@kompascom Gw lbh percaya bill gates inves gorong di IKN.,percaya,negatif
@Tan_Mar3M @FitriRetnani Jokowi 10 tahun berkuasa: -kereta cepat tekor -IKN mangkrak -APBN tekor -BUMN pada rugi -dana bansos 500trilyun tak tepat sasaran. - jelas banget jokowi mengabdi pada oligarki Lalu anda masih mau mintain saran ke dia???,kuasa kereta cepat tekor tekor rugi dana sasar banget abdi oligarki saran,negatif
@Romijuliwanda betul akhi. namun hal sepele tsb tdk boleh mmbatalkn pembangunan IKN yg sdh mnghabiskn uang rakyat bertrilyun2. itu dulu stand pointnya. lalu tugas para eksekutif-lah yg memitigasi &amp; nge-solve masalah2 tsb. para aleg hrs kuat pengawasannya didukung oleh science (bukan asbun).,akh sepele bangun uang rakyat point tugas eksekutif kuat awas dukung,positif
@zialfarisna @FansNerazzurri Yoi. Makanya barca bangkrut kayak IKN.,bangkrut,negatif
@Divastudio78 @Tan_Mar3M investor IKN yg sdh antri bejibun,investor antri,negatif
Otorita IKN Tanam Ribuan Bibit Pohon Wujud Nyata Kota Hutan Masa Depan Indonesia! ,tanam ribu bibit pohon wujud nyata kota hutan indonesia,negatif
@kompascom JOKOWI DODO adalah presiden gagal suka ngibul dan meremehkan rakyatnya kerja cuma bagi-bagi sembako baju kaos dilempar dari dlm mobil. IKN adalah contoh triliunan uang dihamburkan tanpa hasil. @KPK_RI,presiden gagal suka remeh rakyat kerja baju kaos lempar mobil contoh triliun uang hambur hasil,negatif
@ApriliaLin Pabriknya investor (softbank) sudah klarifikasi Batal dan cabut dr IKN.√ Trus jkw ngibul : Ratusan Investor Ngantri berebut. Otak lu dan JKW yang ribet!!!,pabrik investor klarifikasi batal cabut ratus investor rebut otak,negatif
Bandara APT Pranoto Siap Jadi Pusat Logistik Kaltim dan Penopang IKN ,bandara pusat logistik topang,negatif
OIKN Jamin Hunian di IKN Bisa Tampung Pemindahan ASN Tahap Awal ,jamin huni tampung pindah tahap,negatif
@sbmptnfess Kalian yg milih Teknik Sipil mau pada jadi apa dek? Lowongan udah susah! Pembangunan? Liat noh IKN kalian wkwkw Kerja di luar negeri? Sertifikasi Satuan Hitungan negara lain udah banyak yg beda bakal harus belajar lagi Jepang Singapore US Eropa dll Satuannya beda ,teknik sipil dek lowong susah bangun liat kerja negeri sertifikasi hitung negara beda ajar beda,positif
@Sentjoko @kompascom @jokowi Wkwkwkw.... Sesuai nama akunnya... Sebebas tai ngambang di gorong2....gorong2 ikn butuh penghuni noh .,sesuai nama akun bebas butuh huni,negatif
@regar_op0sisi @prabowo Berhasil apanya..... NINGGALIN UTANG PSN BERMASALAH IKN MANGJRAK... PHK BANYAK PERUSAHAAN GULUNG TIKAR .... JASA MULYONO MENJADIKAN DIA PRESIDEN TAK TERGANTIKAN OLEH APAPUN .... SANJUNG TERUS.....,hasil utang usaha gulung tikar jasa presiden ganti sanjung,negatif
Pi Network Tantang Bursa Besar: KYB Wajib atau Tersingkir! Sumber: IKN Pos  Dibagikan melalui Aplikasi Google,tantang bursa wajib singkir sumber pos aplikasi,negatif
buktinya ibukota IKN Kaltim ga mirip kota mewah City ARAB SAUDI kecewa saya ini rugi bondooo modal saya ini buatan nya Jokowi itu #NETtv,bukti kota mewah arab kecewa rugi modal,negatif
@blackshark7890 Mulyono ini sdh menipu dg judul mobil esemka...menipu lagi ekonomi bakal meroket...menipu lagi katanya anaknya tdk mau terjun politik...nipu lagi tdk impor dan melarang rangkap jabatan. Terakhir menipu kata investor IKN mencapai 200 an,tipu judul mobil ekonomi anak terjun impor larang rangkap jabat tipu investor capai,negatif
Jika thailand wujudkan membuat teluk &amp; tdk melalui wilayah singapore &amp; indonesia wajar kah indonesia bangun IKN &amp; kembangkan pembangun industri di WITA &amp; WIT CC @prabowo @Menlu_RI @MardaniAliSera @puanmaharani_ri @msaid_didu @AgusYudhoyono @NataliusPigai2 @DPR_RI @sjafriesjams,wujud teluk wilayah indonesia wajar kah indonesia bangun kembang bangun industri,positif
@ennylistyani @vaniepink maksudnya biar jadi agen gas melon di IKN. ,maksud biar agen gas melon,negatif
@sylusbabykitten nirmala akan bertapa di ujung patung garuda ikn,nirmala tapa ujung patung garuda,negatif
