data_clean,lowercasing,remove_punctuation,tokenizing,stopword,stemming,sentiment
bangga bentuk ikn ikn ikn otoritas otoritas,  jangan ngekek ngekek. yg dibubarin itu satgas ikn karena sudah dibentuk otoritas ikn. jadi bukan otoritas dibubarin. anda ga bangga dg juga ikn gpp.,  jangan ngekek ngekek yg dibubarin itu satgas ikn karena sudah dibentuk otoritas ikn jadi bukan otoritas dibubarin anda ga bangga dg juga ikn gpp,"[""jangan"", ""ngekek"", ""ngekek"", ""yg"", ""dibubarin"", ""itu"", ""satgas"", ""ikn"", ""karena"", ""sudah"", ""dibentuk"", ""otoritas"", ""ikn"", ""jadi"", ""bukan"", ""otoritas"", ""dibubarin"", ""anda"", ""tidak"", ""bangga"", ""dg"", ""juga"", ""ikn"", ""gpp""]","[""ngekek"", ""ngekek"", ""dibubarin"", ""satgas"", ""ikn"", ""dibentuk"", ""otoritas"", ""ikn"", ""otoritas"", ""dibubarin"", ""bangga"", ""dg"", ""ikn"", ""gpp""]","[""bangga"", ""bentuk"", ""ikn"", ""ikn"", ""ikn"", ""otoritas"", ""otoritas""]",negatif
catat dunia gudang hukum ijazah ikn korup mas mati mobil presiden,   segudang maslah jokowi mlalui dr ikn mobil esemka ijazah dllmasih banyak lagi...dan jg presiden terkorup dunia dlm catatan occrp kemungkinn jokowi akan menghadpi hukuman mati ditipikor ..,   segudang maslah jokowi mlalui dr ikn mobil esemka ijazah dllmasih banyak lagidan jg presiden terkorup dunia dlm catatan occrp kemungkinn jokowi akan menghadpi hukuman mati ditipikor ,"[""segudang"", ""maslah"", ""jokowi"", ""mlalui"", ""dr"", ""ikn"", ""mobil"", ""esemka"", ""ijazah"", ""dllmasih"", ""banyak"", ""lagidan"", ""jg"", ""presiden"", ""terkorup"", ""dunia"", ""dlm"", ""catatan"", ""occrp"", ""kemungkinn"", ""jokowi"", ""akan"", ""menghadpi"", ""hukuman"", ""mati"", ""ditipikor""]","[""segudang"", ""maslah"", ""jokowi"", ""mlalui"", ""dr"", ""ikn"", ""mobil"", ""esemka"", ""ijazah"", ""dllmasih"", ""lagidan"", ""jg"", ""presiden"", ""terkorup"", ""dunia"", ""dlm"", ""catatan"", ""occrp"", ""kemungkinn"", ""jokowi"", ""menghadpi"", ""hukuman"", ""mati"", ""ditipikor""]","[""catat"", ""dunia"", ""gudang"", ""hukum"", ""ijazah"", ""ikn"", ""korup"", ""mas"", ""mati"", ""mobil"", ""presiden""]",negatif
bangsa bangun basis belah bijak cepat dasar dasar gaya ikn ilmu ilmu ilmu impor jalan kereta satu satu tahu tahu tahu tambang tol urus, bersatu dalam urusan membangun basisnya itu ilmu pengetahuan. selama ini kebijakan jokowi apa berdasar ilmu pengetahuan? kereta cepat ikn food estate jalan tol impor tambang apa berdasar ilmu pengetahuan? jokowi yg membelah bangsa sekarang bergaya ngajak bersatu., bersatu dalam urusan membangun basisnya itu ilmu pengetahuan selama ini kebijakan jokowi apa berdasar ilmu pengetahuan kereta cepat ikn food estate jalan tol impor tambang apa berdasar ilmu pengetahuan jokowi yg membelah bangsa sekarang bergaya ngajak bersatu,"[""bersatu"", ""dalam"", ""urusan"", ""membangun"", ""basisnya"", ""itu"", ""ilmu"", ""pengetahuan"", ""selama"", ""ini"", ""kebijakan"", ""jokowi"", ""apa"", ""berdasar"", ""ilmu"", ""pengetahuan"", ""kereta"", ""cepat"", ""ikn"", ""food"", ""estate"", ""jalan"", ""tol"", ""impor"", ""tambang"", ""apa"", ""berdasar"", ""ilmu"", ""pengetahuan"", ""jokowi"", ""yg"", ""membelah"", ""bangsa"", ""sekarang"", ""bergaya"", ""ngajak"", ""bersatu""]","[""bersatu"", ""urusan"", ""membangun"", ""basisnya"", ""ilmu"", ""pengetahuan"", ""kebijakan"", ""jokowi"", ""berdasar"", ""ilmu"", ""pengetahuan"", ""kereta"", ""cepat"", ""ikn"", ""food"", ""estate"", ""jalan"", ""tol"", ""impor"", ""tambang"", ""berdasar"", ""ilmu"", ""pengetahuan"", ""jokowi"", ""membelah"", ""bangsa"", ""bergaya"", ""ngajak"", ""bersatu""]","[""bangsa"", ""bangun"", ""basis"", ""belah"", ""bijak"", ""cepat"", ""dasar"", ""dasar"", ""gaya"", ""ikn"", ""ilmu"", ""ilmu"", ""ilmu"", ""impor"", ""jalan"", ""kereta"", ""satu"", ""satu"", ""tahu"", ""tahu"", ""tahu"", ""tambang"", ""tol"", ""urus""]",negatif
hilang ikn kalo kerja kurir malas nada semenjak tahan tanjung,ya gimana yaa itu udah ku tahan² gak co ke itci karena kalo jastip ke nadia tuhh aku malas ngambil ke tanjung. semenjak nada gak kerja di ikn lagi aku kehilangan kurirku wkwkwkkw,ya gimana yaa itu udah ku tahan² gak co ke itci karena kalo jastip ke nadia tuhh aku malas ngambil ke tanjung semenjak nada gak kerja di ikn lagi aku kehilangan kurirku wkwkwkkw,"[""ya"", ""gimana"", ""yaa"", ""itu"", ""udah"", ""ku"", ""tahan²"", ""tidak"", ""co"", ""ke"", ""itci"", ""karena"", ""kalo"", ""jastip"", ""ke"", ""nadia"", ""tuhh"", ""aku"", ""malas"", ""ngambil"", ""ke"", ""tanjung"", ""semenjak"", ""nada"", ""tidak"", ""kerja"", ""di"", ""ikn"", ""lagi"", ""aku"", ""kehilangan"", ""kurirku"", ""wkwkwkkw""]","[""gimana"", ""yaa"", ""udah"", ""ku"", ""tahan²"", ""co"", ""itci"", ""kalo"", ""jastip"", ""nadia"", ""tuhh"", ""malas"", ""ngambil"", ""tanjung"", ""semenjak"", ""nada"", ""kerja"", ""ikn"", ""kehilangan"", ""kurirku"", ""wkwkwkkw""]","[""hilang"", ""ikn"", ""kalo"", ""kerja"", ""kurir"", ""malas"", ""nada"", ""semenjak"", ""tahan"", ""tanjung""]",negatif
batas contoh gagal gatot hilang hisab ikn malu masalah mobil pimpin presiden total, jokowi adalah contoh presiden yg gatot (gagal total) dan hilang kemaluannya memimpin  th mulai dari mobil smka dan banyak lagi permasalahan sampai terakhir ikn itu nawadosa yg hisabnya tanpa batas nauzubillahiminzalik , jokowi adalah contoh presiden yg gatot gagal total dan hilang kemaluannya memimpin  th mulai dari mobil smka dan banyak lagi permasalahan sampai terakhir ikn itu nawadosa yg hisabnya tanpa batas nauzubillahiminzalik ,"[""jokowi"", ""adalah"", ""contoh"", ""presiden"", ""yg"", ""gatot"", ""gagal"", ""total"", ""dan"", ""hilang"", ""kemaluannya"", ""memimpin"", ""th"", ""mulai"", ""dari"", ""mobil"", ""smka"", ""dan"", ""banyak"", ""lagi"", ""permasalahan"", ""sampai"", ""terakhir"", ""ikn"", ""itu"", ""nawadosa"", ""yg"", ""hisabnya"", ""tanpa"", ""batas"", ""nauzubillahiminzalik""]","[""jokowi"", ""contoh"", ""presiden"", ""gatot"", ""gagal"", ""total"", ""hilang"", ""kemaluannya"", ""memimpin"", ""th"", ""mobil"", ""smka"", ""permasalahan"", ""ikn"", ""nawadosa"", ""hisabnya"", ""batas"", ""nauzubillahiminzalik""]","[""batas"", ""contoh"", ""gagal"", ""gatot"", ""hilang"", ""hisab"", ""ikn"", ""malu"", ""masalah"", ""mobil"", ""pimpin"", ""presiden"", ""total""]",negatif
adat bangga bangun bilang coba dampak hati ikn kasi kena manfaat manfaat marah masyarakat pinggir rumah sakit situ situ tinggal, apa manfaatnya ikn sama elu? coba sebutin apa elu dikasi rumah disitu? tinggal disitu? cuma rasa bangga tapi ga ada manfaatnya buat apa? trus bagaimana masyarakat adat yg terpinggirkan? yg terkena dampak pembangunan? pernah mikir ngga? trus lu bilang sakit hati? kita marah., apa manfaatnya ikn sama elu coba sebutin apa elu dikasi rumah disitu tinggal disitu cuma rasa bangga tapi ga ada manfaatnya buat apa trus bagaimana masyarakat adat yg terpinggirkan yg terkena dampak pembangunan pernah mikir ngga trus lu bilang sakit hati kita marah,"[""apa"", ""manfaatnya"", ""ikn"", ""sama"", ""kamu"", ""coba"", ""sebutin"", ""apa"", ""kamu"", ""dikasi"", ""rumah"", ""disitu"", ""tinggal"", ""disitu"", ""cuma"", ""rasa"", ""bangga"", ""tapi"", ""tidak"", ""ada"", ""manfaatnya"", ""buat"", ""apa"", ""trus"", ""bagaimana"", ""masyarakat"", ""adat"", ""yg"", ""terpinggirkan"", ""yg"", ""terkena"", ""dampak"", ""pembangunan"", ""pernah"", ""mikir"", ""tidak"", ""trus"", ""kamu"", ""bilang"", ""sakit"", ""hati"", ""kita"", ""marah""]","[""manfaatnya"", ""ikn"", ""coba"", ""sebutin"", ""dikasi"", ""rumah"", ""disitu"", ""tinggal"", ""disitu"", ""bangga"", ""manfaatnya"", ""trus"", ""masyarakat"", ""adat"", ""terpinggirkan"", ""terkena"", ""dampak"", ""pembangunan"", ""mikir"", ""trus"", ""bilang"", ""sakit"", ""hati"", ""marah""]","[""adat"", ""bangga"", ""bangun"", ""bilang"", ""coba"", ""dampak"", ""hati"", ""ikn"", ""kasi"", ""kena"", ""manfaat"", ""manfaat"", ""marah"", ""masyarakat"", ""pinggir"", ""rumah"", ""sakit"", ""situ"", ""situ"", ""tinggal""]",negatif
ama hina hina ikn investor kabinet merdeka negeri negeri orang ratus, sama ama orang paling hina di negeri ini ikn ratusan investor sudah ada tp boong  menunjukkan kabinet paling hina selama negeri ini merdeka, sama ama orang paling hina di negeri ini ikn ratusan investor sudah ada tp boong  menunjukkan kabinet paling hina selama negeri ini merdeka,"[""sama"", ""ama"", ""orang"", ""paling"", ""hina"", ""di"", ""negeri"", ""ini"", ""ikn"", ""ratusan"", ""investor"", ""sudah"", ""ada"", ""tp"", ""boong"", ""menunjukkan"", ""kabinet"", ""paling"", ""hina"", ""selama"", ""negeri"", ""ini"", ""merdeka""]","[""ama"", ""orang"", ""hina"", ""negeri"", ""ikn"", ""ratusan"", ""investor"", ""tp"", ""boong"", ""kabinet"", ""hina"", ""negeri"", ""merdeka""]","[""ama"", ""hina"", ""hina"", ""ikn"", ""investor"", ""kabinet"", ""merdeka"", ""negeri"", ""negeri"", ""orang"", ""ratus""]",negatif
anak bani ikn kondisi nang wabah, anak wabah sama bani lowbet pada stress nangis bombay ngelihat kondisi ikn yg makin menyalaaaaaaaa , anak wabah sama bani lowbet pada stress nangis bombay ngelihat kondisi ikn yg makin menyalaaaaaaaa ,"[""anak"", ""wabah"", ""sama"", ""bani"", ""lowbet"", ""pada"", ""stress"", ""nangis"", ""bombay"", ""ngelihat"", ""kondisi"", ""ikn"", ""yg"", ""makin"", ""menyalaaaaaaaa""]","[""anak"", ""wabah"", ""bani"", ""lowbet"", ""stress"", ""nangis"", ""bombay"", ""ngelihat"", ""kondisi"", ""ikn"", ""menyalaaaaaaaa""]","[""anak"", ""bani"", ""ikn"", ""kondisi"", ""nang"", ""wabah""]",negatif
bawa buang ikn,prabowo harus membawa gibran ke ikn dan membuangnya di sana.,prabowo harus membawa gibran ke ikn dan membuangnya di sana,"[""prabowo"", ""harus"", ""membawa"", ""gibran"", ""ke"", ""ikn"", ""dan"", ""membuangnya"", ""di"", ""sana""]","[""prabowo"", ""membawa"", ""gibran"", ""ikn"", ""membuangnya""]","[""bawa"", ""buang"", ""ikn""]",negatif
hutan hutang ikn indah jalan kalo kaya kena kurang milik mobil negara nusantara ribu saham tipu,  kalo ga kena tipu saat ini sudah ada ribuan mobil esemka berada dijalan nusantara hutang negara makin berkurang karena saham freeport sudah kita miliki % ikn jadi indah ga kaya hutan krn banyak infestor dan masih banyak lagi,  kalo ga kena tipu saat ini sudah ada ribuan mobil esemka berada dijalan nusantara hutang negara makin berkurang karena saham freeport sudah kita miliki  ikn jadi indah ga kaya hutan krn banyak infestor dan masih banyak lagi,"[""kalo"", ""tidak"", ""kena"", ""tipu"", ""saat"", ""ini"", ""sudah"", ""ada"", ""ribuan"", ""mobil"", ""esemka"", ""berada"", ""dijalan"", ""nusantara"", ""hutang"", ""negara"", ""makin"", ""berkurang"", ""karena"", ""saham"", ""freeport"", ""sudah"", ""kita"", ""miliki"", ""ikn"", ""jadi"", ""indah"", ""tidak"", ""kaya"", ""hutan"", ""krn"", ""banyak"", ""infestor"", ""dan"", ""masih"", ""banyak"", ""lagi""]","[""kalo"", ""kena"", ""tipu"", ""ribuan"", ""mobil"", ""esemka"", ""dijalan"", ""nusantara"", ""hutang"", ""negara"", ""berkurang"", ""saham"", ""freeport"", ""miliki"", ""ikn"", ""indah"", ""kaya"", ""hutan"", ""krn"", ""infestor""]","[""hutan"", ""hutang"", ""ikn"", ""indah"", ""jalan"", ""kalo"", ""kaya"", ""kena"", ""kurang"", ""milik"", ""mobil"", ""negara"", ""nusantara"", ""ribu"", ""saham"", ""tipu""]",positif
adat bangun baru cemar dengar ijazah ikn kaya keruk kroni narasi negara negeri proyek rakyat satu suara tambang tanah ubah, setelah kekayaan negara dikeruk untuk proyek mereka dan kroninya suara rakyat juga sama sekali tidak didengar (termasuk ikn food estate tanah adat pencemaran tambang perubahan uu u/ cawapres serta yg terbaru masalah ijazah); koq sekarang narasinya bersatu membangun negeri?, setelah kekayaan negara dikeruk untuk proyek mereka dan kroninya suara rakyat juga sama sekali tidak didengar termasuk ikn food estate tanah adat pencemaran tambang perubahan uu u cawapres serta yg terbaru masalah ijazah koq sekarang narasinya bersatu membangun negeri,"[""setelah"", ""kekayaan"", ""negara"", ""dikeruk"", ""untuk"", ""proyek"", ""mereka"", ""dan"", ""kroninya"", ""suara"", ""rakyat"", ""juga"", ""sama"", ""sekali"", ""tidak"", ""didengar"", ""termasuk"", ""ikn"", ""food"", ""estate"", ""tanah"", ""adat"", ""pencemaran"", ""tambang"", ""perubahan"", ""uu"", ""u"", ""cawapres"", ""serta"", ""yg"", ""terbaru"", ""masalah"", ""ijazah"", ""koq"", ""sekarang"", ""narasinya"", ""bersatu"", ""membangun"", ""negeri""]","[""kekayaan"", ""negara"", ""dikeruk"", ""proyek"", ""kroninya"", ""suara"", ""rakyat"", ""didengar"", ""ikn"", ""food"", ""estate"", ""tanah"", ""adat"", ""pencemaran"", ""tambang"", ""perubahan"", ""uu"", ""u"", ""cawapres"", ""terbaru"", ""ijazah"", ""koq"", ""narasinya"", ""bersatu"", ""membangun"", ""negeri""]","[""adat"", ""bangun"", ""baru"", ""cemar"", ""dengar"", ""ijazah"", ""ikn"", ""kaya"", ""keruk"", ""kroni"", ""narasi"", ""negara"", ""negeri"", ""proyek"", ""rakyat"", ""satu"", ""suara"", ""tambang"", ""tanah"", ""ubah""]",negatif
ikn ilegal juta laut mana mana mana mana mana nikel oplos pagar rugi serobot tanah ton, dalam kasus pagar laut kalian kemana dalam kasus ikn kalian kemana dalam kasus penyerobotan tanah oleh pik  kalian kemana dalam kasus ilegal export nikel jutaan ton kalian kemana dalam kasus oplosan bbm merugikan sampe  t kalian kemana ? belum kasus kasus lainnya, dalam kasus pagar laut kalian kemana dalam kasus ikn kalian kemana dalam kasus penyerobotan tanah oleh pik  kalian kemana dalam kasus ilegal export nikel jutaan ton kalian kemana dalam kasus oplosan bbm merugikan sampe  t kalian kemana  belum kasus kasus lainnya,"[""dalam"", ""kasus"", ""pagar"", ""laut"", ""kalian"", ""kemana"", ""dalam"", ""kasus"", ""ikn"", ""kalian"", ""kemana"", ""dalam"", ""kasus"", ""penyerobotan"", ""tanah"", ""oleh"", ""pik"", ""kalian"", ""kemana"", ""dalam"", ""kasus"", ""ilegal"", ""export"", ""nikel"", ""jutaan"", ""ton"", ""kalian"", ""kemana"", ""dalam"", ""kasus"", ""oplosan"", ""bbm"", ""merugikan"", ""sampe"", ""t"", ""kalian"", ""kemana"", ""belum"", ""kasus"", ""kasus"", ""lainnya""]","[""pagar"", ""laut"", ""kemana"", ""ikn"", ""kemana"", ""penyerobotan"", ""tanah"", ""pik"", ""kemana"", ""ilegal"", ""export"", ""nikel"", ""jutaan"", ""ton"", ""kemana"", ""oplosan"", ""bbm"", ""merugikan"", ""sampe"", ""t"", ""kemana""]","[""ikn"", ""ilegal"", ""juta"", ""laut"", ""mana"", ""mana"", ""mana"", ""mana"", ""mana"", ""nikel"", ""oplos"", ""pagar"", ""rugi"", ""serobot"", ""tanah"", ""ton""]",negatif
